run,BTR_noCVEM_K2,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K15,BTR_noCVEM_K20,BTR_noCVEM_K25,BTR_noCVEM_K30,BTR_noCVEM_K40,BTR_noCVEM_K50
1,0.11152576044082418,0.11409865967502507,0.11318661470906266,0.11576914059410948,0.10037979502684077,0.10208699261223209,0.12406377999462062,0.13102353817812187,0.12690826168391844
2,0.1180454221303473,0.11508816929768084,0.12189706431082653,0.09795018298437931,0.12943953755196247,0.10527723789291824,0.11165780134676678,0.13113553031769226,0.13827681116582444
3,0.11854989326546456,0.11811525644400755,0.10771661636366585,0.10049172346857549,0.10049050422667694,0.12418126416251854,0.12578301341374187,0.12064189149600972,0.10765201838176344
4,0.11626176914435557,0.11904313344341665,0.11423290628071289,0.08921906740201015,0.10012471246604218,0.1235652087283253,0.10619469617497726,0.11927905065297906,0.10845721277931741
5,0.11845870812033388,0.12048368861956066,0.1231253625504701,0.10680568189802045,0.12638689262137426,0.12217070202564571,0.10146183426200495,0.14703944981155853,0.1487012116071419
6,0.11751106716269447,0.11673951994823342,0.1010805502839098,0.0943008097568008,0.10935345892655815,0.1070655653272688,0.12681076400494024,0.11096199993797648,0.12528127052636456
7,0.1187773179093122,0.11736326053451285,0.11980631189510743,0.11495360619269342,0.1074438036148172,0.14471646162242827,0.11606267164507854,0.114673616512077,0.11155093123636414
8,0.11742027897752075,0.11361616309110659,0.11127997491311334,0.10410712618977044,0.11862148898995453,0.11182415138519172,0.11585050134439023,0.11783266023141453,0.12973791118040556
9,0.11702445039659806,0.12085377525232362,0.12359261860799645,0.1232040960110903,0.12176843648374136,0.11121213284564518,0.11322253442605648,0.12650872955253478,0.10027210005204867
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
