run,sLDA_K2,sLDA_K5,sLDA_K10,sLDA_K15,sLDA_K20,sLDA_K25,sLDA_K30,sLDA_K40,sLDA_K50
1,0.1096349758242503,-0.02705575378931021,-0.07262120559001384,-0.17633624237805084,-0.22227727735039168,0.0,0.0,0.0,0.0
2,0.10826985740117252,-0.02643225097410707,-0.0724248412907417,-0.17805353306727567,-0.21515528024614736,0.0,0.0,0.0,0.0
3,0.10915929331789155,-0.02779078050348882,-0.07430741013605252,-0.17952087261981103,-0.21519174444327427,0.0,0.0,0.0,0.0
4,0.10759353040678048,-0.02695205109843735,-0.07606002551876312,-0.1773532964699864,-0.2150851144099044,0.0,0.0,0.0,0.0
5,0.10774352871704812,-0.026988014455343903,-0.0860011892501581,-0.17735701663807402,-0.21529788570923503,0.0,0.0,0.0,0.0
6,0.10809056073191114,-0.02690417009419707,-0.09999616480856918,-0.17704678076306868,-0.2163797406090629,0.0,0.0,0.0,0.0
7,0.10810972796489626,-0.025941783050790243,-0.099904672804382,-0.1771348284550618,-0.21411677960943834,0.0,0.0,0.0,0.0
8,0.1075731679090647,-0.027483751462119642,-0.1037317698614341,-0.17933855341789928,-0.21699749652805794,0.0,0.0,0.0,0.0
9,0.10812127082678377,-0.026734836874953972,-0.10278765954805219,-0.1783795850790631,-0.21546253175098368,0.0,0.0,0.0,0.0
10,0.10722195122774339,-0.02773093954074913,-0.09371472154470231,-0.17769110460052542,-0.21382322524422231,0.0,0.0,0.0,0.0
